KundeNr	Niederlassung
K0008	Berlin
K0010	Berlin
K0016	Berlin
K0018	Berlin
K0022	Berlin
K0069	Berlin
K0071	Berlin
K0073	Berlin
K0074	Berlin
K0095	Berlin
K0105	Berlin
K0110	Berlin
K0113	Berlin
K0151	Berlin
K0159	Berlin
K0161	Berlin
K0167	Berlin
K0173	Berlin
K0180	Berlin
K0181	Berlin
K0184	Berlin
K0187	Berlin
K0195	Berlin
K0199	Berlin
K0200	Berlin
K0201	Berlin
K0251	Berlin
K0260	Berlin
K0271	Berlin
K0284	Berlin
K0285	Berlin
K0287	Berlin
K0288	Berlin
K0289	Berlin
K0297	Berlin
K0298	Berlin
K0299	Berlin
K0304	Berlin
K0334	Berlin
K0344	Berlin
K0355	Berlin
K0363	Berlin
K0372	Berlin
K0375	Berlin
K0383	Berlin
K0391	Berlin
K0436	Berlin
K0439	Berlin
K0451	Berlin
K0456	Berlin
K0464	Berlin
K0466	Berlin
K0473	Berlin
K0475	Berlin
K0484	Berlin
K0493	Berlin
K0523	Berlin
K0524	Berlin
K0531	Berlin
K0541	Berlin
K0542	Berlin
K0553	Berlin
K0557	Berlin
K0563	Berlin
K0568	Berlin
K0569	Berlin
K0585	Berlin
K0598	Berlin
K0600	Berlin
K0601	Berlin-Charlottenburg
K0610	Berlin
K0617	Berlin
K0622	Berlin
K0632	Berlin
K0654	Berlin
K0660	Berlin
K0672	Berlin
K0674	Berlin
K0676	Berlin
K0677	Berlin-Mitte
K0678	Berlin
K0679	Berlin-Mitte
K0681	Berlin
K0698	Berlin
K0702	Berlin
K0704	Berlin
K0715	Berlin
K0717	Berlin
K0719	Berlin
K0743	Berlin-Spandau
K0744	Berlin-Spandau
K0745	Berlin-Spandau
K0762	Berlin-Spandau
K0766	Berlin
K0768	Berlin
K0779	Berlin
K0788	Berlin
K0790	Berlin
K0814	Berlin
K0825	Berlin
K0837	Berlin
K0857	Berlin
K0859	Berlin
K0869	Berlin
K0894	Berlin
K0898	Berlin
K0900	Berlin
K0923	Berlin
K0924	Berlin
K0925	Berlin
K0945	Berlin
K0949	Berlin
K0952	Berlin
K0974	Berlin
K0988	Berlin
K0993	Berlin
K0996	Berlin
K1036	Berlin
K1042	Berlin
K1045	Berlin
K1050	Berlin
K1065	Berlin
K1066	Berlin
K1094	Berlin
K1100	Berlin
K1103	Berlin
K1106	Berlin
K1112	Berlin
K1131	Berlin
K1137	Berlin
K1140	Berlin
K1145	Berlin
K1146	Berlin
K1164	Berlin
K1171	Berlin
K1219	Berlin
K1227	Berlin
K1234	Berlin
K1236	Berlin-Charlottenburg
K1237	Berlin
K1239	Berlin
K1242	Berlin
K1243	Berlin
K1247	Berlin
K1256	Berlin
K1261	Berlin
K1264	Berlin
K1275	Berlin
K1281	Berlin
K1306	Berlin
K1314	Berlin
K1318	Berlin
K1330	Berlin
K1335	Berlin
K1344	Berlin
K1357	Berlin
K1358	Berlin
K1360	Berlin
K1368	Berlin
K1379	Berlin
K1381	Berlin
K1384	Berlin
K1391	Berlin
K1393	Berlin
K1395	Berlin
K1398	Berlin
K1407	Berlin
K1419	Berlin
K1421	Berlin
K1427	Berlin
K1429	Berlin
K1432	Berlin
K1435	Berlin
K1447	Berlin
K1451	Berlin
K1461	Berlin
K1465	Berlin
K1471	Berlin
K1474	Berlin
K1491	Berlin
K1499	Berlin
K1503	Berlin
K1505	Berlin
K1510	Berlin
K1515	Berlin
K1531	Berlin
K1534	Berlin
K1552	Berlin
K1562	Berlin
K1563	Berlin
K1578	Berlin
K1581	Berlin
K1589	Berlin
K1604	Berlin
K1608	Berlin
K1609	BERLIN
K1618	Berlin
K1622	Berlin
K1627	Berlin
K1647	Berlin
K1653	Berlin
K1657	Berlin
K1660	Berlin
K1665	Berlin
K1676	Berlin
K1703	Berlin
K1714	Berlin
K1726	Berlin
K1731	Berlin
K1733	Berlin
K1743	Berlin
K1751	Berlin
K1752	Berlin
K1759	Berlin
K1772	Berlin
K1782	Berlin
K1806	Berlin
K1812	Berlin
K1815	Berlin
K1817	Berlin
K1820	Berlin
K1840	Berlin
K1848	Berlin
K1889	Berlin
K1895	Berlin
K1907	Berlin
K1921	Berlin
K1925	Berlin
K1926	Berlin
K1946	Berlin
K1952	Berlin
K1955	Berlin
K1983	Berlin
K1990	Berlin
K1994	Berlin-Charlottenburg
