KundeNr,Niederlassung
K0001,Sachsen
K0003,Hessen
K0004,Bayern
K0005,Bayern
K0006,Baden-Württemberg
K0009,Bayern
K0012,Baden-Württemberg
K0014,Sachsen
K0015,Sachsen
K0017,Bayern
K0019,Bayern
K0020,Baden-Württemberg
K0021,Hessen
K0024,Baden-Württemberg
K0025,Niedersachsen
K0028,Sachsen
K0030,Sachsen
K0031,Bayern
K0032,Brandenburg
K0033,Baden-Württemberg
K0034,Baden-Württemberg
K0035,Bayern
K0036,Baden-Württemberg
K0037,Bayern
K0038,Baden-Württemberg
K0039,Baden-Württemberg
K0040,Sachsen
K0041,Baden-Württemberg
K0043,Baden-Württemberg
K0044,Sachsen
K0045,Sachsen
K0046,Niedersachsen
K0047,Niedersachsen
K0048,Baden-Württemberg
K0049,Thüringen
K0051,Sachsen
K0052,Niedersachsen
K0053,Bayern
K0054,Sachsen
K0055,Bayern
K0056,Hessen
K0057,Baden-Württemberg
K0058,Sachsen
K0059,Baden-Württemberg
K0060,Bayern
K0061,Hessen
K0063,Hessen
K0064,Bayern
K0065,Baden-Württemberg
K0067,Thüringen
K0070,Sachsen
K0072,Hamburg
K0076,Hamburg
K0077,Bayern
K0078,Bayern
K0079,Baden-Württemberg
K0080,Hessen
K0081,Bayern
K0082,Baden-Württemberg
K0083,Niedersachsen
K0084,Niedersachsen
K0086,Brandenburg
K0087,Sachsen
K0088,Sachsen
K0090,Niedersachsen
K0091,Bayern
K0092,Thüringen
K0093,Bayern
K0094,Bayern
K0096,Baden-Württemberg
K0097,Thüringen
K0098,Hessen
K0099,Hessen
K0100,Niedersachsen
K0101,Brandenburg
K0102,Baden-Württemberg
K0103,Hessen
K0104,Niedersachsen
K0107,Bayern
K0108,Bayern
K0109,Baden-Württemberg
K0114,Hessen
K0116,Bayern
K0117,Baden-Württemberg
K0118,Thüringen
K0119,Hessen
K0120,Thüringen
K0121,Bayern
K0122,Niedersachsen
K0123,Bayern
K0124,Bayern
K0125,Hamburg
K0126,Bayern
K0127,Baden-Württemberg
K0128,Bayern
K0129,Baden-Württemberg
K0130,Niedersachsen
K0131,Brandenburg
K0132,Baden-Württemberg
K0133,Baden-Württemberg
K0134,Baden-Württemberg
K0135,Hessen
K0136,Baden-Württemberg
K0138,Baden-Württemberg
K0139,Bayern
K0140,Sachsen
K0141,Niedersachsen
K0142,Baden-Württemberg
K0144,Brandenburg
K0146,Hessen
K0147,Niedersachsen
K0148,Thüringen
K0149,Bayern
K0150,Hessen
K0152,Baden-Württemberg
K0153,Baden-Württemberg
K0154,Baden-Württemberg
K0155,Niedersachsen
K0156,Hessen
K0157,Hessen
K0158,Baden-Württemberg
K0160,Sachsen
K0162,Hessen
K0165,Hamburg
K0168,Sachsen
K0169,Bayern
K0170,Bayern
K0171,Baden-Württemberg
K0174,Bayern
K0175,Bayern
K0176,Sachsen
K0178,Hessen
K0179,Hessen
K0182,Sachsen
K0183,Baden-Württemberg
K0185,Bayern
K0186,Brandenburg
K0188,Hamburg
K0189,Baden-Württemberg
K0190,Hamburg
K0191,Bayern
K0192,Baden-Württemberg
K0193,Baden-Württemberg
K0196,Hessen
K0198,Niedersachsen
K0202,Niedersachsen
