KundeNr;Niederlassung
K0002;NRW
K0007;Nordrhein-Westfalen
K0011;Nordrhein-Westfalen
K0013;Nordrhein-Westfalen
K0023;NRW
K0026;Nordrhein-Westfalen
K0027;Nordrhein-Westfalen
K0029;Nordrhein-Westfalen
K0042;Nordrhein-Westfalen
K0050;Nordrhein-Westfalen
K0062;Nordrhein-Westfalen
K0066;Nordrhein-Westfalen
K0068;Nordrhein-Westfalen
K0075;Nordrhein-Westfalen
K0085;Nordrhein-Westfalen
K0089;Nordrhein-Westfalen
K0106;Nordrhein-Westfalen
K0111;Nordrhein-Westfalen
K0112;Nordrhein-Westfalen
K0115;Nordrhein-Westfalen
K0137;Nordrhein-Westfalen
K0143;Nordrhein-Westfalen
K0145;Nordrhein-Westfalen
K0163;Nordrhein-Westfalen
K0164;Nordrhein-Westfalen
K0166;Nordrhein-Westfalen
K0172;Nordrhein-Westfalen
K0177;Nordrhein-Westfalen
K0194;Nordrhein-Westfalen
K0197;Nordrhein-Westfalen
K0204;Nordrhein-Westfalen
K0205;Nordrhein-Westfalen
K0215;Nordrhein-Westfalen
K0224;Nordrhein-Westfalen
K0233;Nordrhein-Westfalen
K0239;Nordrhein-Westfalen
K0245;Nordrhein-Westfalen
K0250;Nordrhein-Westfalen
K0252;Nordrhein-Westfalen
K0254;Nordrhein-Westfalen
K0256;Nordrhein-Westfalen
K0265;Nordrhein-Westfalen
K0276;Nordrhein-Westfalen
K0282;Nordrhein-Westfalen
K0295;Nordrhein-Westfalen
K0301;Nordrhein-Westfalen
K0314;Nordrhein-Westfalen
K0317;Nordrhein-Westfalen
K0319;Nordrhein-Westfalen
K0323;Nordrhein-Westfalen
K0347;Nordrhein-Westfalen
K0353;Nordrhein-Westfalen
K0357;Nordrhein-Westfalen
K0371;Nordrhein-Westfalen
K0374;Nordrhein-Westfalen
K0381;Nordrhein-Westfalen
K0384;Nordrhein-Westfalen
K0396;Nordrhein-Westfalen
K0397;Nordrhein-Westfalen
K0398;Nordrhein-Westfalen
K0401;Nordrhein-Westfalen
K0406;Nordrhein-Westfalen
K0413;Düsseldorf
K0428;Nordrhein-Westfalen
K0429;Nordrhein-Westfalen
K0433;Nordrhein-Westfalen
K0442;Nordrhein-Westfalen
K0443;Nordrhein-Westfalen
K0445;Nordrhein-Westfalen
K0447;Nordrhein-Westfalen
K0459;Nordrhein-Westfalen
K0460;Nordrhein-Westfalen
K0468;Nordrhein-Westfalen
K0470;Nordrhein-Westfalen
K0472;Nordrhein-Westfalen
K0486;Nordrhein-Westfalen
K0489;Nordrhein-Westfalen
K0490;Nordrhein-Westfalen
K0500;Nordrhein-Westfalen
K0503;Nordrhein-Westfalen
K0520;Nordrhein-Westfalen
K0522;Nordrhein-Westfalen
K0536;Nordrhein-Westfalen
K0540;Nordrhein-Westfalen
K0543;Nordrhein-Westfalen
K0548;Nordrhein-Westfalen
K0549;Nordrhein-Westfalen
K0560;Nordrhein-Westfalen
K0561;Nordrhein-Westfalen
K0565;Nordrhein-Westfalen
K0572;Nordrhein-Westfalen
K0575;Nordrhein-Westfalen
K0584;Nordrhein-Westfalen
K0589;Nordrhein-Westfalen
K0597;Nordrhein-Westfalen
K0606;Nordrhein-Westfalen
K0608;Nordrhein-Westfalen
K0612;Nordrhein-Westfalen
K0625;Nordrhein-Westfalen
K0626;Nordrhein-Westfalen
K0627;Nordrhein-Westfalen
K0629;Nordrhein-Westfalen
K0635;Nordrhein-Westfalen
K0644;Nordrhein-Westfalen
K0649;Nordrhein-Westfalen
K0655;Nordrhein-Westfalen
K0656;Nordrhein-Westfalen
K0665;Nordrhein-Westfalen
K0669;Nordrhein-Westfalen
K0670;Nordrhein-Westfalen
K0693;Nordrhein-Westfalen
K0694;Nordrhein-Westfalen
K0701;Nordrhein-Westfalen
K0706;Nordrhein-Westfalen
K0708;Nordrhein-Westfalen
K0713;Nordrhein-Westfalen
K0716;Nordrhein-Westfalen
K0731;Nordrhein-Westfalen
K0749;Nordrhein-Westfalen
K0750;Nordrhein-Westfalen
K0754;Nordrhein-Westfalen
K0759;Nordrhein-Westfalen
K0764;Nordrhein-Westfalen
K0765;Nordrhein-Westfalen
K0775;Nordrhein-Westfalen
K0782;Nordrhein-Westfalen
